Application ID,District Name,Gender,Residential Type,Specially Abled Type,Enterprise Type,Sector,IFSC Code,Application Date,Initiated Flag,Submitted Flag,Verified by BHD Flag,Verified by SBDU Flag,Approved by DLIC Flag,Bank Sanctioned Flag,Bank Disbursed Flag,Days_to_BHD_Verification,Days_to_SBDU_Verification,Days_to_DLIC_Approval,Days_to_Bank_Sanction,Days_to_Disbursement,Total_TAT_Days,Loan Amount (Mixed Units),Project Cost (Mixed Units),Applicant_Monthly_Income,Loan_Tenure_Months,Interest_Rate_%,EMI_Amount,EMI_to_Income_Ratio,Risk_Score,Credit_Eligibility_Score,Repayment_Status,Days_Overdue
2422,Doda,,,Visual,MSME Sunrise Sector,Healthcare,JKBK071053,12-14-2023,1,1,0,1,1,0,0,22.0,56.0,40.0,98.0,32.0,248.0,$3126,5217399,41475.0,,8.08,,,45.0,0.34,,0
2423,Jammu,Other,Rural,,,Retail,JKBK092458,As on Feb 2026,1,1,0,1,1,0,0,30.0,52.0,27.0,74.0,27.0,210.0,,$11893,118451.0,36.0,11.84,,,67.0,0.59,On-time,0
2424,Shopian,Male,rural,Locomotor,Existing enterprise,Tourism,JKBK094497,,1,1,0,1,1,1,0,0.0,31.0,29.0,56.0,,,₹1014972,$58151,102112.0,,,,,2.0,0.42,,76
2425,Kulgam,,Urban,Visual,,Agri,JKBK085494,,1,1,0,1,1,0,0,2.0,40.0,25.0,82.0,36.0,185.0,2806325,,23718.0,36.0,10.14,,,36.0,0.9,ONTIME,0
2426,Doda,,Urban,Locomotor,MSME Sunrise Sector,Tourism,JKBK033127,As on Feb 2026,1,1,0,1,1,1,1,1.0,23.0,11.0,,17.0,,,$19533,76128.0,60.0,7.03,33905.0,0.445,78.0,0.27,,163
2427,Bandipora,,rural,Locomotor,nano entrepreneur,Tourism,JKBK011321,2025-06-12,1,1,0,1,1,0,0,,85.0,45.0,,34.0,,,,82799.0,36.0,,,,,0.57,ONTIME,150
2428,Kishtwar,Other,Urban,Multiple,Existing enterprise,IT,JKBK034398,2-7-2025,1,1,1,1,1,1,1,21.0,25.0,36.0,107.0,15.0,204.0,3982k INR,$50097,56989.0,12.0,14.29,16683.0,0.293,9.0,0.68,ONTIME,171
2429,Ramban,Other,Rural,Multiple,Existing enterprise,Manufacturing,JKBK071310,18/11/2023,1,1,0,1,1,0,0,7.0,30.0,28.0,110.0,30.0,205.0,$2358,₹2750517,119620.0,48.0,10.71,,,6.0,0.08,ONTIME,0
2430,Reasi,,Rural,Visual,,,JKBK011500,,1,1,0,0,0,0,0,5.0,19.0,,,,,5925608,,46047.0,24.0,8.48,,,66.0,0.21,Default,0
2431,Jammu,FEMALE,rural,,Existing enterprise,Manufacturing,JKBK073299,2026-03-28,1,1,1,1,1,1,0,33.0,42.0,44.0,70.0,36.0,225.0,5453733,$40137,27332.0,18.0,11.8,6058.0,0.222,8.0,0.56,Delayed,0
2432,Kupwara,male ,rural,Visual,Nano Entrepreneur,,JKBK086991,9/2/2021,1,1,0,1,1,0,0,9.0,64.0,14.0,,23.0,,,,84097.0,36.0,12.22,,,97.0,0.23,ONTIME,148
2433,Bandipora,Female,urban ,Hearing,MSME Sunrise Sector,Tourism,JKBK041666,12-7-2022,1,1,0,1,0,0,0,39.0,67.0,10.0,49.0,,,2404k INR,2984k INR,32782.0,60.0,9.81,,,67.0,0.27,On-time,0
2434,Kulgam,,rural,None,nano entrepreneur,Retail,JKBK056907,,1,0,1,0,0,0,0,38.0,49.0,47.0,64.0,14.0,212.0,,$59046,104895.0,18.0,11.14,,,5.0,0.35,,170
2435,Pulwama,Other,urban ,None,Existing Enterprise,Agri,JKBK015626,As on Feb 2026,1,1,1,0,0,0,0,23.0,55.0,,38.0,37.0,,₹1840542,$32710,12618.0,24.0,9.6,,,76.0,0.92,late,0
2436,Kulgam,,Rural,Hearing,Existing enterprise,Agri,JKBK055585,2021-10-19,1,1,0,1,1,1,1,,50.0,59.0,,,,5700223,$49227,21416.0,18.0,10.42,4755.0,0.222,73.0,0.0,,0
2437,Srinagar,Other,Rural,,Existing enterprise,Manufacturing,JKBK079804,2026-01-22,1,1,0,0,0,0,0,39.0,82.0,20.0,97.0,16.0,254.0,,1390k INR,92327.0,36.0,12.12,,,35.0,0.62,ONTIME,0
2438,Udhampur,Male,urban ,Visual,Existing enterprise,Manufacturing,JKBK060653,2-28-2026,1,1,1,1,1,1,0,36.0,34.0,59.0,40.0,41.0,210.0,,3072714,35743.0,48.0,7.97,6985.0,0.195,44.0,0.52,ONTIME,0
2439,Udhampur,Male,Rural,Locomotor,nano entrepreneur,IT,JKBK099548,As on Feb 2026,1,1,0,0,0,0,0,21.0,22.0,43.0,35.0,,,3901k INR,,,48.0,9.85,,,92.0,0.36,late,0
2440,Ganderbal,,Urban,Locomotor,nano entrepreneur,Tourism,JKBK040778,18/10/2023,1,1,0,0,0,0,0,0.0,,30.0,40.0,32.0,,2910919,4690743,116470.0,18.0,13.36,,,11.0,0.06,Default,0
2441,Anantnag,Female,Rural,None,MSME Sunrise Sector,IT,JKBK010129,5/9/2021,1,1,0,0,0,0,0,10.0,26.0,13.0,,28.0,,$45624,,38537.0,36.0,,,,79.0,0.1,Default,0
2442,Jammu,FEMALE,urban ,Locomotor,nano entrepreneur,Healthcare,JKBK025779,9-2-2026,1,0,1,1,1,0,0,19.0,26.0,6.0,42.0,12.0,105.0,1169722,5840k INR,91085.0,48.0,8.52,,,80.0,0.46,Default,0
2443,Ganderbal,Other,urban ,NA,Existing Enterprise,Tourism,JKBK081997,2022-09-22,1,1,0,1,1,0,0,11.0,41.0,20.0,79.0,15.0,166.0,₹2506146,3544596,92254.0,48.0,9.54,,,87.0,0.35,Default,0
2444,Reasi,male ,rural,Multiple,Nano Entrepreneur,Services,JKBK083848,21/2/2026,1,1,0,1,1,0,0,10.0,47.0,59.0,104.0,10.0,230.0,3443209,,76527.0,,10.72,,,78.0,0.93,late,5
2445,Kupwara,FEMALE,rural,Locomotor,MSME Sunrise Sector,Agri,JKBK033574,22/8/2024,1,1,1,1,0,0,0,38.0,67.0,13.0,23.0,,,₹567730,138461,39285.0,36.0,14.46,,,80.0,0.53,late,0
2446,Anantnag,,,Visual,Nano Entrepreneur,Retail,JKBK086887,15/1/2023,1,1,0,0,0,0,0,2.0,,53.0,115.0,8.0,,460949,₹4585166,76735.0,18.0,8.63,,,10.0,0.6,Delayed,0
2447,Pulwama,,rural,Hearing,Existing enterprise,Retail,JKBK056686,2-4-2023,1,1,1,1,1,0,0,9.0,,,79.0,44.0,,$4669,$22243,21023.0,24.0,10.41,,,52.0,0.82,late,0
2448,Baramulla,Other,urban ,Locomotor,,Retail,JKBK097343,2022-07-28,1,1,0,1,1,0,0,12.0,24.0,24.0,106.0,,,5936622,,39041.0,60.0,14.48,,,55.0,0.96,late,0
2449,Reasi,male ,Rural,Hearing,,Agri,JKBK077989,As on Feb 2026,1,1,0,1,1,0,0,38.0,24.0,25.0,68.0,34.0,189.0,1958230,₹6203251,96769.0,60.0,14.43,,,71.0,0.11,ONTIME,0
2450,Bandipora,Other,Rural,Visual,,Healthcare,JKBK095469,12/5/2025,1,1,1,0,0,0,0,29.0,66.0,34.0,53.0,,,$47282,2629k INR,53869.0,60.0,8.86,,,37.0,0.19,On-time,0
2451,Rajouri,male ,rural,None,Nano Entrepreneur,Healthcare,JKBK081997,2024-10-04,1,1,1,1,1,0,0,,11.0,52.0,38.0,,,,,99687.0,60.0,8.74,,,48.0,0.49,On-time,0
2452,Srinagar,FEMALE,urban ,Hearing,Existing Enterprise,Tourism,JKBK055961,As on Feb 2026,1,1,0,0,0,0,0,20.0,57.0,16.0,99.0,16.0,208.0,₹4411142,1149k INR,21941.0,12.0,8.21,,,6.0,0.44,Delayed,120
2453,Samba,,Rural,NA,MSME Sunrise Sector,,JKBK097343,2021-04-04,1,1,1,1,1,0,0,1.0,84.0,,68.0,,,$44453,5707k INR,108835.0,36.0,13.39,,,65.0,0.91,Default,20
2454,Kishtwar,Male,Rural,None,MSME Sunrise Sector,Services,JKBK084740,4-26-2021,1,1,0,1,1,1,1,38.0,12.0,9.0,103.0,,,₹4238145,,88201.0,36.0,8.55,32791.0,0.372,16.0,0.27,ONTIME,0
2455,Ramban,Female,,NA,Nano Entrepreneur,Healthcare,JKBK057528,20/4/2024,1,0,1,1,1,0,0,5.0,46.0,22.0,69.0,2.0,144.0,₹964837,1123k INR,95877.0,18.0,12.37,,,58.0,0.98,Default,0
2456,Ramban,,Rural,NA,MSME Sunrise Sector,Tourism,JKBK033574,2-15-2024,1,1,0,1,1,0,0,1.0,23.0,42.0,72.0,10.0,148.0,$36021,4532129,22709.0,36.0,8.06,,,67.0,0.83,late,71
2457,Samba,male ,urban ,Visual,,Agri,JKBK096077,10-19-2026,1,1,1,0,0,0,0,25.0,56.0,17.0,14.0,3.0,115.0,$7551,5125607,77008.0,18.0,8.6,,,87.0,0.11,Delayed,41
2458,Ramban,FEMALE,Rural,,nano entrepreneur,Tourism,JKBK011525,7-9-2025,1,1,1,1,1,1,1,13.0,51.0,37.0,78.0,24.0,203.0,,$33322,24837.0,36.0,13.79,7922.0,0.319,19.0,0.11,On-time,83
2459,Srinagar,Other,Rural,,nano entrepreneur,Manufacturing,JKBK089681,1-21-2021,1,1,1,0,0,0,0,40.0,9.0,,109.0,12.0,,,,32070.0,60.0,8.22,,,31.0,0.08,Delayed,160
2460,Ramban,,rural,None,nano entrepreneur,Tourism,JKBK085455,27/6/2021,1,1,0,1,0,0,0,15.0,7.0,,52.0,8.0,,3091049,$46986,23596.0,12.0,12.99,,,69.0,0.13,,0
2461,Kishtwar,Male,Rural,Hearing,Nano Entrepreneur,Tourism,JKBK049533,2021-12-25,1,0,0,0,0,0,0,13.0,57.0,59.0,9.0,13.0,151.0,₹1740495,4103783,9133.0,48.0,14.34,,,10.0,0.65,late,0
2462,Anantnag,Female,Rural,Multiple,Nano Entrepreneur,Retail,JKBK036890,As on Feb 2026,1,1,1,1,1,0,0,34.0,,52.0,61.0,43.0,,,1546756,118165.0,24.0,,,,26.0,0.49,Default,125
2463,Shopian,FEMALE,Rural,None,Nano Entrepreneur,IT,JKBK024855,2-5-2026,1,1,0,1,1,1,0,17.0,11.0,3.0,30.0,,,4822764,$19855,61843.0,12.0,7.05,9722.0,0.157,26.0,0.63,,0
2464,Pulwama,Female,rural,,Nano Entrepreneur,Agri,JKBK086231,,1,1,0,0,0,0,0,18.0,50.0,25.0,105.0,45.0,243.0,1848k INR,3435k INR,93773.0,60.0,9.62,,,24.0,0.9,,0
2465,Ramban,male ,rural,NA,nano entrepreneur,Tourism,JKBK096895,5-1-2024,1,1,1,1,1,1,1,39.0,85.0,9.0,60.0,45.0,238.0,2744k INR,4594139,52404.0,12.0,13.67,11636.0,0.222,34.0,0.84,,0
2466,Kulgam,,,Locomotor,Existing Enterprise,,JKBK037524,,1,1,1,0,0,0,0,23.0,48.0,30.0,85.0,10.0,196.0,₹2270682,$25324,,,,,,45.0,0.99,On-time,0
2467,Shopian,Male,Urban,Locomotor,nano entrepreneur,,JKBK074773,,1,1,0,1,1,0,0,,70.0,,8.0,7.0,,3112k INR,2129120,60791.0,,,,,23.0,0.26,ONTIME,0
2468,Kathua,male ,rural,NA,Nano Entrepreneur,Retail,JKBK078062,,1,1,0,1,1,1,0,,68.0,10.0,,38.0,,4571k INR,₹720010,75478.0,36.0,11.23,16879.0,0.224,56.0,0.6,Default,0
2469,Ganderbal,male ,,NA,Existing enterprise,Healthcare,JKBK030715,,1,1,0,1,1,1,1,37.0,61.0,35.0,39.0,20.0,192.0,₹2753380,5239k INR,75455.0,12.0,14.06,14503.0,0.192,27.0,0.8,Delayed,0
2470,Samba,male ,rural,Locomotor,Nano Entrepreneur,Services,JKBK089681,As on Feb 2026,1,1,1,1,1,0,0,40.0,40.0,39.0,68.0,12.0,199.0,$4678,5572716,45903.0,48.0,7.06,,,70.0,0.83,Default,0
2471,Ramban,FEMALE,urban ,Hearing,Nano Entrepreneur,Manufacturing,JKBK044662,25/2/2021,1,1,1,1,1,1,0,8.0,19.0,48.0,76.0,3.0,154.0,1120k INR,6203768,74591.0,18.0,13.27,11495.0,0.154,77.0,0.52,Default,0
2472,Ganderbal,,Urban,Visual,Existing enterprise,Services,JKBK094325,,1,1,0,1,1,0,0,,76.0,26.0,51.0,9.0,,5853979,2743k INR,,,10.14,,,25.0,0.67,On-time,0
2473,Poonch,,Rural,Multiple,MSME Sunrise Sector,Manufacturing,JKBK058342,,1,1,0,1,1,0,0,22.0,74.0,21.0,113.0,9.0,239.0,,₹4294612,22583.0,48.0,10.1,,,39.0,0.77,On-time,0
2474,Doda,Male,Rural,Visual,,,JKBK074756,,1,1,0,1,1,1,0,5.0,54.0,43.0,98.0,39.0,239.0,$8664,₹4267267,50463.0,12.0,10.89,16623.0,0.329,19.0,0.68,ONTIME,0
2475,Ganderbal,FEMALE,Urban,Multiple,nano entrepreneur,IT,JKBK075986,,1,1,0,1,1,0,0,8.0,52.0,25.0,9.0,11.0,105.0,439171,₹2287495,104332.0,18.0,11.85,,,9.0,0.43,Default,0
2476,Bandipora,FEMALE,,Visual,nano entrepreneur,Tourism,JKBK041666,As on Feb 2026,1,1,0,1,0,0,0,11.0,11.0,51.0,12.0,38.0,123.0,$30152,₹1764303,115710.0,36.0,12.08,,,42.0,0.24,On-time,4
2477,Reasi,male ,urban ,NA,Nano Entrepreneur,Tourism,JKBK077806,4/12/2026,1,1,0,1,1,0,0,34.0,72.0,12.0,68.0,42.0,228.0,,$46207,65172.0,12.0,12.27,,,58.0,0.9,On-time,0
2478,Bandipora,,urban ,Hearing,Existing enterprise,Manufacturing,JKBK012264,As on Feb 2026,1,1,0,1,1,0,0,39.0,62.0,24.0,66.0,22.0,213.0,5356172,₹3805862,,36.0,11.31,,,77.0,0.91,On-time,0
2479,Budgam,Female,,Locomotor,nano entrepreneur,Healthcare,JKBK054076,2022-07-02,1,0,0,0,0,0,0,27.0,73.0,,15.0,41.0,,,430k INR,67356.0,18.0,7.91,,,75.0,0.86,,32
2480,Kishtwar,male ,Urban,Multiple,nano entrepreneur,IT,JKBK096895,6/9/2023,1,1,0,1,0,0,0,,6.0,42.0,60.0,45.0,,3289670,5824k INR,63361.0,24.0,13.03,,,50.0,0.37,On-time,0
2481,Shopian,male ,Rural,NA,MSME Sunrise Sector,Agri,JKBK011525,3/12/2023,1,1,0,1,1,0,0,10.0,58.0,23.0,88.0,35.0,214.0,620k INR,2368k INR,24438.0,60.0,12.3,,,63.0,0.7,Delayed,0
2482,Ramban,Other,Rural,Multiple,Existing enterprise,Services,JKBK063952,5/7/2024,1,1,0,1,1,1,0,33.0,89.0,,66.0,13.0,,₹3804029,₹2603202,101175.0,60.0,,,,66.0,0.02,late,0
2483,Pulwama,Other,Urban,,Existing Enterprise,,JKBK044515,,1,1,1,1,1,1,0,23.0,,27.0,116.0,44.0,,2897k INR,,85878.0,18.0,8.63,29771.0,0.347,13.0,0.2,Default,0
2484,Jammu,male ,Rural,None,Existing Enterprise,Healthcare,JKBK023222,25/5/2025,1,1,0,0,0,0,0,6.0,57.0,,,,,$22021,$7561,24695.0,24.0,8.74,,,7.0,0.45,On-time,0
2485,Samba,FEMALE,urban ,Locomotor,Existing enterprise,Tourism,JKBK073365,12-22-2021,1,1,1,1,0,0,0,39.0,76.0,9.0,70.0,5.0,199.0,,4081k INR,42555.0,60.0,7.68,,,30.0,0.96,,0
2486,Samba,Female,,Hearing,Nano Entrepreneur,Manufacturing,JKBK093771,2-10-2021,1,1,1,0,0,0,0,0.0,29.0,9.0,,15.0,,4466k INR,$21275,27127.0,24.0,12.41,,,62.0,0.66,Default,0
2487,Udhampur,FEMALE,,Visual,Nano Entrepreneur,Manufacturing,JKBK056907,2024-02-14,1,1,0,1,1,1,1,14.0,72.0,11.0,16.0,5.0,118.0,,,,60.0,14.47,,,72.0,0.18,,0
2488,Kulgam,,,NA,nano entrepreneur,,JKBK050548,12/10/2024,1,1,0,0,0,0,0,26.0,56.0,38.0,83.0,13.0,216.0,1842k INR,₹2620100,40154.0,36.0,12.89,,,69.0,0.86,On-time,48
2489,Bandipora,Other,Urban,Hearing,Nano Entrepreneur,Agri,JKBK027436,2-22-2023,1,1,1,1,1,0,0,0.0,71.0,36.0,76.0,20.0,203.0,,$53025,21223.0,36.0,12.92,,,9.0,0.74,,0
2490,Poonch,Female,Rural,Hearing,Existing Enterprise,Tourism,JKBK047375,2-27-2023,1,1,0,1,1,0,0,39.0,76.0,53.0,52.0,7.0,227.0,₹4534935,,48886.0,60.0,7.96,,,51.0,0.64,Default,0
2491,Ramban,Male,,Multiple,nano entrepreneur,Manufacturing,JKBK017267,22/9/2024,1,1,1,1,0,0,0,,11.0,53.0,46.0,36.0,,₹1993764,$9857,84347.0,12.0,13.81,,,99.0,0.53,On-time,0
2492,Kupwara,male ,Urban,NA,Existing enterprise,Retail,JKBK011321,2026-05-16,1,1,1,1,1,0,0,21.0,54.0,36.0,102.0,6.0,219.0,,₹1481291,81739.0,48.0,10.44,,,91.0,0.5,late,100
2493,Samba,male ,Urban,Hearing,Existing enterprise,Manufacturing,JKBK086231,10-27-2021,1,1,0,1,1,0,0,,44.0,8.0,7.0,19.0,,₹2263866,6196223,112956.0,24.0,10.32,,,21.0,0.88,Delayed,0
2494,Rajouri,male ,Rural,None,Existing enterprise,Manufacturing,JKBK055961,9-25-2026,1,1,0,1,1,0,0,1.0,22.0,45.0,,44.0,,743k INR,$1509,27035.0,36.0,9.5,,,59.0,0.99,Delayed,0
2495,Anantnag,Male,Rural,Hearing,MSME Sunrise Sector,Manufacturing,JKBK065431,2026-02-24,1,1,1,1,1,1,1,1.0,12.0,26.0,8.0,,,₹4573225,$6548,,36.0,12.54,,,100.0,,Delayed,111
2496,Samba,Male,rural,Visual,Existing Enterprise,,JKBK095469,11-5-2024,1,1,0,0,0,0,0,0.0,27.0,28.0,93.0,37.0,185.0,$42245,$56164,94945.0,36.0,,,,17.0,0.24,ONTIME,0
2497,Rajouri,,rural,,Existing Enterprise,Agri,JKBK023085,12-11-2026,1,1,1,1,0,0,0,10.0,6.0,48.0,15.0,15.0,94.0,,₹3498766,56343.0,18.0,12.45,,,73.0,0.83,,116
2498,Bandipora,FEMALE,rural,Locomotor,Existing enterprise,IT,JKBK044959,7/6/2022,1,1,0,1,1,1,1,14.0,66.0,40.0,43.0,,,2502322,₹3802548,52978.0,18.0,13.74,15177.0,0.286,33.0,0.24,ONTIME,0
2499,Kupwara,male ,,NA,,Healthcare,JKBK031679,2024-09-14,1,1,0,1,1,1,0,33.0,85.0,38.0,,44.0,,,1431k INR,63311.0,12.0,,,,7.0,0.48,ONTIME,0
2500,Udhampur,male ,urban ,,Nano Entrepreneur,,JKBK080279,16/6/2021,1,1,1,1,1,0,0,17.0,27.0,56.0,69.0,22.0,191.0,₹1052409,3686k INR,85879.0,24.0,9.31,,,91.0,0.71,Default,101
2501,Ramban,Other,Rural,None,Existing Enterprise,Agri,JKBK032167,As on Feb 2026,1,1,0,1,1,1,1,,6.0,51.0,118.0,25.0,,2352k INR,,85475.0,24.0,14.14,25832.0,0.302,,0.18,,84
2502,Shopian,Female,Urban,None,nano entrepreneur,IT,JKBK040778,6-6-2025,1,1,0,1,1,0,0,16.0,66.0,53.0,75.0,8.0,218.0,3442710,5193668,118449.0,18.0,12.17,,,,0.82,ONTIME,0
2502,Bandipora,Other,Urban,Multiple,Nano Entrepreneur,Retail,JKBK042265,,1,1,0,1,1,0,0,17.0,21.0,37.0,86.0,32.0,193.0,₹4381536,5105513,47245.0,12.0,10.91,,,9.0,0.26,Delayed,0
2504,Ramban,Male,urban ,,Nano Entrepreneur,Healthcare,JKBK040327,2023-11-18,1,1,1,0,0,0,0,9.0,,50.0,79.0,21.0,,1631374,2260k INR,98944.0,24.0,7.15,,,29.0,0.98,Default,0
2505,Srinagar,Other,Rural,Visual,nano entrepreneur,Healthcare,JKBK023004,3-25-2022,1,1,0,1,1,0,0,,84.0,50.0,113.0,34.0,,$1158,₹4859907,12081.0,60.0,14.26,,,,0.05,Default,108
2506,Baramulla,FEMALE,rural,None,Existing enterprise,Manufacturing,JKBK010129,2023-08-24,1,1,0,0,0,0,0,,66.0,59.0,116.0,21.0,,₹3932957,2914405,,60.0,12.16,,,14.0,0.28,Default,126
2507,Doda,male ,Urban,None,Nano Entrepreneur,Tourism,JKBK014688,2024-03-10,1,1,1,1,1,1,1,,53.0,21.0,,,,204380,3265714,63645.0,48.0,11.51,22970.0,0.361,53.0,0.29,Delayed,0
2508,Jammu,,urban ,Multiple,Existing enterprise,Agri,JKBK033421,2-7-2024,1,1,0,0,0,0,0,8.0,34.0,48.0,90.0,43.0,223.0,4739k INR,4951k INR,64443.0,36.0,13.62,,,63.0,0.82,Default,0
2509,Poonch,FEMALE,urban ,Hearing,Existing Enterprise,Healthcare,JKBK058342,,1,1,0,1,1,1,1,,36.0,41.0,52.0,,,1383368,₹3085036,49730.0,,9.57,,,96.0,0.54,late,0
2510,Baramulla,Female,,Hearing,Existing enterprise,,JKBK056907,2023-09-17,1,1,1,1,1,0,0,26.0,49.0,44.0,62.0,40.0,221.0,,6236k INR,95075.0,,8.75,,,61.0,0.46,On-time,0
2511,Poonch,FEMALE,rural,None,,Healthcare,JKBK079804,8-1-2021,1,1,0,1,1,1,1,18.0,30.0,58.0,,6.0,,814169,,70427.0,18.0,10.92,10581.0,0.15,1.0,0.65,ONTIME,3
2512,Shopian,,Rural,Hearing,Nano Entrepreneur,Healthcare,JKBK021968,As on Feb 2026,1,1,1,0,0,0,0,24.0,58.0,27.0,18.0,,,2931k INR,5665257,95986.0,36.0,13.2,,,95.0,0.53,Default,0
2513,Ramban,FEMALE,,Locomotor,Existing Enterprise,Tourism,JKBK062215,10/10/2024,1,1,0,1,0,0,0,19.0,,3.0,91.0,41.0,,,₹5174473,55022.0,18.0,14.03,,,44.0,0.04,ONTIME,0
2514,Doda,Female,rural,Multiple,MSME Sunrise Sector,,JKBK059505,2025-08-10,1,1,1,1,1,0,0,5.0,10.0,54.0,15.0,27.0,111.0,1991181,$46145,21506.0,,11.7,,,88.0,0.33,,0
2515,Srinagar,male ,Rural,Locomotor,Nano Entrepreneur,Tourism,JKBK023271,As on Feb 2026,1,1,1,1,1,1,1,5.0,20.0,7.0,94.0,35.0,161.0,₹1754115,5107798,88463.0,18.0,12.11,15648.0,0.177,39.0,0.78,late,0
2516,Doda,Male,urban ,NA,nano entrepreneur,Healthcare,JKBK017820,2/3/2022,1,1,0,1,1,0,0,31.0,25.0,21.0,107.0,45.0,229.0,3598k INR,6414846,101850.0,48.0,11.8,,,9.0,0.47,late,0
2517,Kathua,Other,rural,Multiple,Nano Entrepreneur,Tourism,JKBK082830,13/10/2026,1,1,1,1,1,1,1,1.0,31.0,48.0,22.0,10.0,112.0,,₹3607806,27605.0,24.0,9.65,10267.0,0.372,1.0,0.96,Default,0
2518,Srinagar,Female,urban ,NA,MSME Sunrise Sector,Tourism,JKBK012532,2021-12-20,1,1,0,1,1,0,0,33.0,15.0,53.0,89.0,38.0,228.0,4381214,$44122,34698.0,18.0,8.01,,,1.0,0.1,Delayed,0
2519,Budgam,Other,Urban,Visual,Existing enterprise,Retail,JKBK099548,,1,0,1,1,1,1,0,7.0,33.0,52.0,54.0,11.0,157.0,,,50886.0,36.0,10.31,22674.0,0.446,53.0,0.6,late,0
2520,Budgam,FEMALE,rural,Locomotor,Existing enterprise,Manufacturing,JKBK040327,As on Feb 2026,1,1,0,1,1,1,1,21.0,74.0,18.0,,39.0,,₹4173726,145442,112363.0,48.0,8.06,22993.0,0.205,58.0,0.75,late,0
2521,Kupwara,Female,rural,Visual,MSME Sunrise Sector,Retail,JKBK041666,,1,1,0,1,1,0,0,29.0,57.0,25.0,111.0,35.0,257.0,2586k INR,₹2919500,83332.0,24.0,13.18,,,42.0,0.86,On-time,0
2522,Kathua,Female,,Multiple,MSME Sunrise Sector,Retail,JKBK068857,2-27-2025,1,1,0,1,0,0,0,6.0,57.0,22.0,28.0,,,5344517,1860k INR,103243.0,60.0,9.73,,,70.0,0.39,Delayed,167
2523,Ramban,male ,rural,Visual,,IT,JKBK023271,2-24-2024,1,1,0,0,0,0,0,31.0,67.0,22.0,18.0,,,,$17115,48201.0,,8.01,,,80.0,0.12,,0
2524,Kulgam,,rural,Multiple,Nano Entrepreneur,,JKBK095469,1/1/2026,1,1,0,1,1,1,0,24.0,11.0,23.0,34.0,27.0,119.0,$35883,$52176,68406.0,24.0,10.43,25168.0,0.368,96.0,0.32,Delayed,0
2525,Pulwama,,rural,Multiple,MSME Sunrise Sector,,JKBK080092,As on Feb 2026,1,1,0,1,1,0,0,20.0,85.0,42.0,64.0,39.0,250.0,₹4563140,₹2170158,29605.0,36.0,14.15,,,67.0,0.55,,0
2526,Bandipora,,rural,NA,MSME Sunrise Sector,Agri,JKBK086267,As on Feb 2026,1,1,0,0,0,0,0,6.0,51.0,51.0,13.0,33.0,154.0,,$53690,,60.0,13.83,,,83.0,0.22,ONTIME,0
2527,Kulgam,male ,,Multiple,,Services,JKBK025283,2025-06-20,1,1,0,1,1,1,1,,26.0,34.0,13.0,32.0,,₹4586687,$48317,,12.0,7.13,,,43.0,0.92,Default,0
2528,Srinagar,,Urban,Hearing,Nano Entrepreneur,Retail,JKBK027962,22/6/2026,1,1,1,1,1,1,1,35.0,62.0,21.0,56.0,15.0,189.0,4524547,5052k INR,20119.0,24.0,8.52,4550.0,0.226,48.0,0.95,Delayed,0
2529,Samba,FEMALE,,Visual,Existing enterprise,Healthcare,JKBK093764,7-18-2024,1,1,0,1,1,1,1,20.0,8.0,,109.0,32.0,,2959k INR,2116900,11768.0,12.0,11.2,2043.0,0.174,77.0,0.62,Default,0
2530,Anantnag,Male,rural,NA,MSME Sunrise Sector,Healthcare,JKBK045023,As on Feb 2026,1,1,0,0,0,0,0,23.0,,50.0,82.0,21.0,,344k INR,3669693,,24.0,6.93,,,69.0,0.49,On-time,0
2531,Anantnag,Female,Urban,Multiple,nano entrepreneur,IT,JKBK016473,As on Feb 2026,1,1,0,0,0,0,0,20.0,48.0,,,20.0,,1737655,$29317,,60.0,10.34,,,98.0,0.33,Delayed,0
2532,Jammu,Female,Urban,Visual,Nano Entrepreneur,Healthcare,JKBK080949,6-11-2023,1,1,1,1,1,1,0,25.0,7.0,29.0,47.0,16.0,124.0,,$9757,,24.0,6.85,,,53.0,0.63,Delayed,115
2533,Srinagar,male ,urban ,NA,MSME Sunrise Sector,Healthcare,JKBK044959,14/9/2022,1,1,0,0,0,0,0,24.0,66.0,49.0,15.0,24.0,178.0,,70k INR,27151.0,18.0,6.91,,,3.0,0.94,ONTIME,0
2534,Pulwama,FEMALE,Urban,NA,Nano Entrepreneur,Agri,JKBK067164,11-13-2022,1,1,1,1,1,1,1,16.0,78.0,35.0,39.0,19.0,187.0,2820k INR,1405k INR,66969.0,,8.51,,,54.0,0.4,,0
2535,Srinagar,,rural,NA,Existing enterprise,Healthcare,JKBK017822,As on Feb 2026,1,1,0,1,1,1,0,35.0,68.0,15.0,37.0,42.0,197.0,,385k INR,13002.0,12.0,11.29,3787.0,0.291,,0.72,,0
2536,Shopian,Other,rural,Visual,Existing enterprise,Agri,JKBK011389,18/11/2025,1,1,0,1,1,1,1,28.0,5.0,3.0,,33.0,,₹2151397,3762k INR,52963.0,60.0,9.21,18708.0,0.353,54.0,0.11,Default,0
2537,Rajouri,male ,Urban,NA,nano entrepreneur,Agri,JKBK070817,12-26-2022,1,1,0,1,1,0,0,34.0,10.0,44.0,70.0,4.0,162.0,,6199k INR,118440.0,36.0,7.13,,,92.0,0.56,Delayed,0
