Application ID,Cleaned District Name,Gender,Cleaned Gender,Residential Type,Cleaned Residential Type,Specially Abled Type,Cleaned Specially Abled Type,Enterprise Type,Cleaned Enterprise Type,Sector,Cleaned Sector,IFSC Code,Application Date,Cleaned Application Date,Initiated Flag,Submitted Flag,Verified by BHD Flag,Verified by SBDU Flag,Approved by DLIC Flag,Bank Sanctioned Flag,Bank Disbursed Flag,Days_to_BHD_Verification,Cleaned Days_to_BHD_Verification,Days_to_SBDU_Verification,Cleaned Days_to_SBDU_Verification,Days_to_DLIC_Approval,Cleaned Days_to_DLIC_Approval,Days_to_Bank_Sanction,Cleaned Days_to_Bank_Sanction,Days_to_Disbursement,Cleaned Days_to_Disbursement,Total_TAT_Days,Cleaned Total_TAT_Days,Loan Amount (Mixed Units),Cleaned Loan Amount (Mixed Units),Project Cost (Mixed Units),Project Cost,Applicant_Monthly_Income,Cleaned Applicant_Monthly_Income,Loan_Tenure_Months,Clean Loan_Tenure_Months,Interest_Rate_%,Clean Interest_Rate_%,EMI_Amount,Clean EMI_Amount,EMI_to_Income_Ratio,Clean EMI_to_Income_Ratio,Risk_Score,Clean Risk_Score,Credit_Eligibility_Score,Clean Credit_Eligibility_Score,Repayment_Status,Clean Repayment_Status,Days_Overdue
1371,Reasi,Male,Male,Urban,Urban,NA,Na,Existing enterprise,Existing Enterprise,Manufacturing,Manufacturing,JKBK041667,2025-01-01,Jan 2025,1,1,0,1,1,1,1,7,7,75,75,48,48,108,108,,NA,,NA,"$39,597","₹3,563,730.00","$13,675","₹1,230,750.00",41029,41029,,NA,12.52,12.52,,NA,,NA,96,96,0.07,0.07,Delayed,Delayed,0
1371,Udhampur,Male,Male,Rural,Rural,Multiple,Multiple,Nano Entrepreneur,Nano Entrepreneur,Agri,Agri,JKBK041667,10/6/2021,Oct 2021,1,1,1,1,1,1,1,39,39,89,89,44,44,,NA,29,29,,NA,,₹0.00,,NA,39744,39744,12,12,13.44,13.44,16938,16938,0.426,0.426,11,11,,NA,,NA,86
1373,Kathua,Other,Other,rural,Rural,Locomotor,Locomotor,Existing Enterprise,Existing Enterprise,IT,IT,JKBK075323,16/8/2022,Aug 2022,1,1,1,1,1,1,1,28,28,67,67,14,14,103,103,18,18,230,230,"$29,024","₹2,612,160.00",136k INR,"₹136,000.00",36479,36479,18,18,9.69,9.69,5852,5852,0.16,0.16,55,55,0.28,0.28,Default,Default,0
1374,Kathua,,NA,Urban,Urban,Multiple,Multiple,MSME Sunrise Sector,Msme Sunrise Sector,,NA,JKBK054076,7-13-2022,Jul 2022,1,1,1,1,1,0,0,1,1,45,45,5,5,,NA,19,19,,NA,4933k INR,"₹4,933,000.00","$38,735","₹3,486,150.00",115621,115621,60,60,6.84,6.84,,NA,,NA,24,24,0.3,0.3,,NA,0
1375,Rajouri,Other,Other,,NA,Multiple,Multiple,Existing enterprise,Existing Enterprise,Services,Services,JKBK087893,,NA,1,1,0,1,1,1,1,38,38,22,22,15,15,102,102,41,41,218,218,390k INR,"₹390,000.00",2137214,"₹2,137,214.00",50630,50630,36,36,7.81,7.81,14740,14740,0.291,0.291,68,68,0.29,0.29,Delayed,Delayed,28
1376,Pulwama,Other,Other,Rural,Rural,Multiple,Multiple,nano entrepreneur,Nano Entrepreneur,Services,Services,JKBK031173,12/1/2023,Dec 2023,1,1,1,1,1,0,0,32,32,80,80,38,38,94,94,,NA,,NA,,₹0.00,"$59,269","₹5,334,210.00",97200,97200,60,60,11.15,11.15,,NA,,NA,62,62,0.47,0.47,Default,Default,0
1377,Ramban,,NA,rural,Rural,Visual,Visual,nano entrepreneur,Nano Entrepreneur,,NA,JKBK094939,,NA,1,1,0,1,1,0,0,34,34,64,64,9,9,,NA,42,42,,NA,1547829,"₹1,547,829.00",₹1133398,"₹1,133,398.00",32334,32334,60,60,12.81,12.81,,NA,,NA,10,10,0.5,0.5,late,Late,62
1378,Doda,FEMALE,Female,Rural,Rural,Visual,Visual,MSME Sunrise Sector,Msme Sunrise Sector,Manufacturing,Manufacturing,JKBK034322,2024-05-05,May 2024,1,0,0,1,1,1,1,7,7,8,8,5,5,78,78,8,8,106,106,1335183,"₹1,335,183.00","$7,263","₹653,670.00",115103,115103,12,12,6.94,6.94,40889,40889,0.355,0.355,36,36,0.85,0.85,Delayed,Delayed,0
1379,Rajouri,,NA,,NA,,Na,,NA,Manufacturing,Manufacturing,JKBK038797,2021-04-12,Apr 2021,1,1,1,1,1,0,0,15,15,9,9,31,31,56,56,24,24,135,135,2011959,"₹2,011,959.00",,NA,11465,11465,18,18,10.18,10.18,,NA,,NA,40,40,0.42,0.42,,NA,155
1380,Doda,Male,Male,Rural,Rural,,Na,nano entrepreneur,Nano Entrepreneur,Tourism,Tourism,JKBK094497,2021-06-22,Jun 2021,1,1,0,0,0,0,0,15,15,84,84,42,42,63,63,9,9,213,213,₹4178337,"₹4,178,337.00",,NA,18045,18045,36,36,11.34,11.34,,NA,,NA,49,49,0.14,0.14,ONTIME,On-Time,0
1381,Kishtwar,,NA,urban,Urban,None,Na,,NA,Services,Services,JKBK058342,2024-03-03,Mar 2024,1,1,0,0,0,0,0,0,0,23,23,,NA,66,66,35,35,,NA,370507,"₹370,507.00",4197k INR,"₹4,197,000.00",,NA,36,36,11.4,11.4,,NA,,NA,80,80,0.98,0.98,ONTIME,On-Time,0
1382,Udhampur,,NA,rural,Rural,None,Na,Nano Entrepreneur,Nano Entrepreneur,Healthcare,Healthcare,JKBK072127,As on Feb 2026,Feb 2026,1,1,0,1,1,0,0,30,30,34,34,,NA,34,34,4,4,,NA,,₹0.00,"$14,235","₹1,281,150.00",117789,117789,48,48,10.66,10.66,,NA,,NA,5,5,0.66,0.66,Default,Default,0
1383,Ganderbal,male,Male,Urban,Urban,Visual,Visual,MSME Sunrise Sector,Msme Sunrise Sector,Manufacturing,Manufacturing,JKBK061541,7-21-2026,Jul 2026,1,1,0,0,0,0,0,36,36,18,18,46,46,9,9,12,12,121,121,,₹0.00,4709k INR,"₹4,709,000.00",60156,60156,24,24,8.81,8.81,,NA,,NA,91,91,0.86,0.86,Default,Default,64
1384,Kathua,male,Male,Rural,Rural,Hearing,Hearing,MSME Sunrise Sector,Msme Sunrise Sector,Services,Services,JKBK020870,9-12-2024,Sep 2024,1,1,0,1,1,0,0,31,31,69,69,50,50,39,39,,NA,,NA,,₹0.00,4560255,"₹4,560,255.00",,NA,,NA,10.89,10.89,,NA,,NA,28,28,,NA,On-time,NA,0
1385,Ramban,male,Male,rural,Rural,Hearing,Hearing,Nano Entrepreneur,Nano Entrepreneur,Retail,Retail,JKBK023271,As on Feb 2026,Feb 2026,1,1,0,1,1,0,0,8,8,30,30,9,9,38,38,31,31,116,116,₹1252030,"₹1,252,030.00",₹3073214,"₹3,073,214.00",17780,17780,24,24,13.33,13.33,,NA,,NA,47,47,0.3,0.3,Delayed,Delayed,0
1386,Baramulla,male,Male,Urban,Urban,,Na,MSME Sunrise Sector,Msme Sunrise Sector,Healthcare,Healthcare,JKBK027983,2021-02-07,Feb 2021,1,0,0,1,1,0,0,12,12,38,38,12,12,67,67,22,22,151,151,₹3303747,"₹3,303,747.00",3043k INR,"₹3,043,000.00",69490,69490,60,60,12.51,12.51,,NA,,NA,23,23,0.72,0.72,late,Late,0
1387,Srinagar,Other,Other,Urban,Urban,,Na,Existing Enterprise,Existing Enterprise,Manufacturing,Manufacturing,JKBK059376,11-9-2021,Nov 2021,1,1,0,1,1,1,1,15,15,14,14,11,11,27,27,,NA,,NA,₹1035290,"₹1,035,290.00",3512776,"₹3,512,776.00",,NA,,NA,7.22,7.22,,NA,,NA,57,57,0.22,0.22,ONTIME,On-Time,0
1388,Ramban,Other,Other,rural,Rural,Locomotor,Locomotor,,NA,,NA,JKBK084675,2023-01-12,Jan 2023,1,1,0,1,1,0,0,4,4,80,80,59,59,44,44,10,10,197,197,₹4760067,"₹4,760,067.00",1590k INR,"₹1,590,000.00",21183,21183,18,18,8.97,8.97,,NA,,NA,9,9,0.55,0.55,,NA,85
1389,Ramban,FEMALE,Female,rural,Rural,None,Na,Existing enterprise,Existing Enterprise,Agri,Agri,JKBK069314,,NA,1,1,0,1,1,0,0,15,15,87,87,23,23,40,40,,NA,,NA,104k INR,"₹104,000.00",₹6132268,"₹6,132,268.00",55256,55256,60,60,11.69,11.69,,NA,,NA,95,95,0.98,0.98,,NA,0
1390,Pulwama,Other,Other,Rural,Rural,Hearing,Hearing,MSME Sunrise Sector,Msme Sunrise Sector,Tourism,Tourism,JKBK086231,2021-08-10,Aug 2021,1,1,0,0,0,0,0,13,13,31,31,56,56,12,12,31,31,143,143,5480404,"₹5,480,404.00",₹3463724,"₹3,463,724.00",20891,20891,36,36,7.31,7.31,,NA,,NA,96,96,0.3,0.3,Delayed,Delayed,0
1391,Samba,Other,Other,,NA,NA,Na,,NA,,NA,JKBK049533,8-28-2024,Aug 2024,1,1,0,1,1,1,1,19,19,16,16,37,37,,NA,10,10,,NA,"$15,650","₹1,408,500.00",817483,"₹817,483.00",41599,41599,60,60,8.16,8.16,8743,8743,0.21,0.21,85,85,0.85,0.85,,NA,0
1392,Srinagar,,NA,Urban,Urban,NA,Na,Nano Entrepreneur,Nano Entrepreneur,Agri,Agri,JKBK017822,1/3/2021,Jan 2021,1,0,0,1,1,1,0,6,6,69,69,34,34,117,117,28,28,254,254,₹2931326,"₹2,931,326.00",₹740137,"₹740,137.00",104121,104121,12,12,13.13,13.13,38222,38222,0.367,0.367,6,6,0.09,0.09,,NA,68
1393,Kathua,Male,Male,,NA,Hearing,Hearing,Existing enterprise,Existing Enterprise,Manufacturing,Manufacturing,JKBK077989,6-3-2023,Jun 2023,1,1,0,1,0,0,0,12,12,87,87,3,3,56,56,,NA,,NA,2005103,"₹2,005,103.00",₹4705416,"₹4,705,416.00",106301,106301,48,48,8.11,8.11,,NA,,NA,23,23,0.87,0.87,On-time,NA,149
1394,Rajouri,male,Male,urban,Urban,None,Na,nano entrepreneur,Nano Entrepreneur,Services,Services,JKBK044662,5-18-2022,May 2022,1,1,0,1,1,1,1,21,21,9,9,53,53,117,117,39,39,239,239,"$47,659","₹4,289,310.00",1262710,"₹1,262,710.00",26741,26741,60,60,6.51,6.51,7346,7346,0.275,0.275,22,22,0.43,0.43,,NA,130
1395,Udhampur,,NA,rural,Rural,Multiple,Multiple,Nano Entrepreneur,Nano Entrepreneur,Retail,Retail,JKBK048383,5-21-2025,May 2025,1,1,0,0,0,0,0,39,39,31,31,40,40,42,42,,NA,,NA,2294k INR,"₹2,294,000.00",5366k INR,"₹5,366,000.00",,NA,12,12,12.06,12.06,,NA,,NA,58,58,0.95,0.95,,NA,0
1396,Samba,Female,Female,Urban,Urban,Visual,Visual,,NA,Tourism,Tourism,JKBK019457,2022-09-07,Sep 2022,1,1,0,0,0,0,0,,NA,12,12,32,32,106,106,8,8,,NA,₹3695754,"₹3,695,754.00","$54,230","₹4,880,700.00",80977,80977,12,12,14.43,14.43,,NA,,NA,6,6,0.69,0.69,Default,Default,0
1397,Kathua,Female,Female,Rural,Rural,None,Na,MSME Sunrise Sector,Msme Sunrise Sector,Tourism,Tourism,JKBK067133,,NA,1,1,0,1,1,0,0,8,8,38,38,7,7,28,28,,NA,,NA,"$48,989","₹4,409,010.00",₹2586879,"₹2,586,879.00",73836,73836,12,12,14,14,,NA,,NA,55,55,0.14,0.14,Default,Default,0
1398,Poonch,Female,Female,urban,Urban,Visual,Visual,Existing Enterprise,Existing Enterprise,IT,IT,JKBK010129,16/1/2026,Jan 2026,1,1,1,0,0,0,0,12,12,,NA,46,46,84,84,7,7,,NA,₹4595698,"₹4,595,698.00","$22,624","₹2,036,160.00",32281,32281,12,12,13.18,13.18,,NA,,NA,66,66,0.09,0.09,Delayed,Delayed,0
1399,Kulgam,Male,Male,,NA,,Na,Nano Entrepreneur,Nano Entrepreneur,Healthcare,Healthcare,JKBK075287,As on Feb 2026,Feb 2026,1,0,0,0,0,0,0,16,16,32,32,47,47,,NA,,NA,,NA,4478k INR,"₹4,478,000.00",,NA,61929,61929,18,18,8.01,8.01,,NA,,NA,34,34,0.25,0.25,ONTIME,On-Time,0
1400,Budgam,Other,Other,rural,Rural,Multiple,Multiple,MSME Sunrise Sector,Msme Sunrise Sector,IT,IT,JKBK036890,2/1/2024,Feb 2024,1,1,0,1,1,0,0,,NA,86,86,20,20,26,26,32,32,,NA,136031,"₹136,031.00",5444k INR,"₹5,444,000.00",75535,75535,36,36,13.24,13.24,,NA,,NA,39,39,0.11,0.11,Default,Default,0
1401,Baramulla,,NA,,NA,Multiple,Multiple,Existing Enterprise,Existing Enterprise,Agri,Agri,JKBK032570,1-10-2025,Jan 2025,1,1,0,0,0,0,0,34,34,63,63,33,33,,NA,28,28,,NA,₹3158181,"₹3,158,181.00",3970331,"₹3,970,331.00",22046,22046,18,18,8.87,8.87,,NA,,NA,82,82,,NA,Delayed,Delayed,0
1402,Reasi,FEMALE,Female,rural,Rural,Hearing,Hearing,,NA,Services,Services,JKBK031679,2023-10-25,Oct 2023,1,1,0,1,1,0,0,6,6,19,19,,NA,119,119,18,18,,NA,,₹0.00,"$40,145","₹3,613,050.00",38048,38048,18,18,10.23,10.23,,NA,,NA,38,38,0.58,0.58,Delayed,Delayed,0
1403,Srinagar,male,Male,Rural,Rural,Hearing,Hearing,nano entrepreneur,Nano Entrepreneur,,NA,JKBK035657,As on Feb 2026,Feb 2026,1,1,0,0,0,0,0,25,25,31,31,,NA,117,117,27,27,,NA,508k INR,"₹508,000.00","$51,580","₹4,642,200.00",32894,32894,24,24,13.03,13.03,,NA,,NA,9,9,0.15,0.15,,NA,0
1404,Bandipora,Male,Male,,NA,Hearing,Hearing,Existing enterprise,Existing Enterprise,Healthcare,Healthcare,JKBK089681,15/11/2021,Nov 2021,1,1,0,1,1,0,0,23,23,68,68,36,36,,NA,3,3,,NA,5626661,"₹5,626,661.00","$17,175","₹1,545,750.00",111683,111683,60,60,12.22,12.22,,NA,,NA,34,34,0.57,0.57,On-time,NA,0
1405,Jammu,,NA,,NA,None,Na,MSME Sunrise Sector,Msme Sunrise Sector,Services,Services,JKBK074576,,NA,1,1,1,0,0,0,0,32,32,69,69,14,14,87,87,15,15,217,217,653643,"₹653,643.00",1935k INR,"₹1,935,000.00",42996,42996,36,36,6.51,6.51,,NA,,NA,81,81,0.4,0.4,On-time,NA,63
1406,Poonch,Female,Female,rural,Rural,Visual,Visual,MSME Sunrise Sector,Msme Sunrise Sector,IT,IT,JKBK095469,As on Feb 2026,Feb 2026,1,1,0,1,1,1,1,5,5,29,29,15,15,113,113,30,30,192,192,714k INR,"₹714,000.00",3522k INR,"₹3,522,000.00",106165,106165,12,12,12.77,12.77,20639,20639,0.194,0.194,29,29,0.8,0.8,On-time,NA,0
1407,Ramban,FEMALE,Female,,NA,Hearing,Hearing,Existing Enterprise,Existing Enterprise,Retail,Retail,JKBK081014,As on Feb 2026,Feb 2026,1,1,0,0,0,0,0,7,7,27,27,4,4,37,37,30,30,105,105,141474,"₹141,474.00",,NA,57928,57928,60,60,11.53,11.53,,NA,,NA,89,89,0.55,0.55,On-time,NA,0
1408,Kathua,male,Male,rural,Rural,Visual,Visual,,NA,Healthcare,Healthcare,JKBK089158,,NA,1,1,0,1,1,0,0,,NA,,NA,,NA,24,24,19,19,,NA,2598k INR,"₹2,598,000.00",3874k INR,"₹3,874,000.00",34746,34746,36,36,9.62,9.62,,NA,,NA,56,56,0.18,0.18,,NA,50
1409,Samba,FEMALE,Female,,NA,Visual,Visual,Nano Entrepreneur,Nano Entrepreneur,Manufacturing,Manufacturing,JKBK093764,10-7-2022,Oct 2022,1,1,1,1,1,1,1,39,39,58,58,30,30,55,55,4,4,186,186,4539956,"₹4,539,956.00",₹1111542,"₹1,111,542.00",,NA,60,60,10.64,10.64,,NA,,NA,31,31,0.43,0.43,,NA,0
1410,Samba,FEMALE,Female,urban,Urban,Multiple,Multiple,Nano Entrepreneur,Nano Entrepreneur,Retail,Retail,JKBK047358,2021-02-01,Feb 2021,1,1,0,1,0,0,0,34,34,26,26,21,21,83,83,22,22,186,186,₹3335912,"₹3,335,912.00",₹92023,"₹92,023.00",43147,43147,36,36,,NA,,NA,,NA,47,47,0.23,0.23,ONTIME,On-Time,0
1411,Shopian,Other,Other,rural,Rural,Hearing,Hearing,Nano Entrepreneur,Nano Entrepreneur,Manufacturing,Manufacturing,JKBK074904,1-3-2022,Jan 2022,1,0,0,1,1,1,1,33,33,42,42,17,17,63,63,28,28,183,183,₹3603344,"₹3,603,344.00",4651411,"₹4,651,411.00",26122,26122,12,12,10.9,10.9,7780,7780,0.298,0.298,54,54,0.02,0.02,Default,Default,0
1412,Kulgam,Female,Female,rural,Rural,Locomotor,Locomotor,MSME Sunrise Sector,Msme Sunrise Sector,,NA,JKBK079491,2/1/2025,Feb 2025,1,1,0,1,1,0,0,11,11,78,78,,NA,76,76,19,19,,NA,3868k INR,"₹3,868,000.00",₹3450416,"₹3,450,416.00",,NA,36,36,9.8,9.8,,NA,,NA,93,93,0.89,0.89,Default,Default,0
1413,Ramban,Other,Other,,NA,Locomotor,Locomotor,nano entrepreneur,Nano Entrepreneur,Agri,Agri,JKBK033127,15/11/2024,Nov 2024,1,1,0,0,0,0,0,2,2,39,39,34,34,29,29,29,29,133,133,₹64704,"₹64,704.00",122937,"₹122,937.00",83660,83660,36,36,9.62,9.62,,NA,,NA,67,67,0.25,0.25,On-time,NA,0
1414,Samba,Female,Female,,NA,,Na,MSME Sunrise Sector,Msme Sunrise Sector,Healthcare,Healthcare,JKBK081812,9-24-2022,Sep 2022,1,1,0,0,0,0,0,19,19,55,55,47,47,101,101,18,18,240,240,943k INR,"₹943,000.00",₹6159651,"₹6,159,651.00",73541,73541,36,36,13.35,13.35,,NA,,NA,89,89,0.8,0.8,Delayed,Delayed,53
1415,Samba,Other,Other,rural,Rural,Visual,Visual,nano entrepreneur,Nano Entrepreneur,Tourism,Tourism,JKBK097447,As on Feb 2026,Feb 2026,1,1,1,1,1,0,0,37,37,15,15,18,18,48,48,43,43,161,161,"$29,953","₹2,695,770.00",,NA,67912,67912,48,48,10.32,10.32,,NA,,NA,92,92,0.27,0.27,Default,Default,0
1416,Kupwara,FEMALE,Female,rural,Rural,NA,Na,,NA,Retail,Retail,JKBK019294,As on Feb 2026,Feb 2026,1,1,0,1,1,1,1,6,6,,NA,16,16,58,58,,NA,,NA,,₹0.00,5894659,"₹5,894,659.00",37377,37377,60,60,9.02,9.02,11963,11963,0.32,0.32,56,56,0.38,0.38,late,Late,0
1417,Reasi,Female,Female,,NA,Visual,Visual,MSME Sunrise Sector,Msme Sunrise Sector,Services,Services,JKBK065566,,NA,1,1,0,1,1,0,0,,NA,56,56,,NA,69,69,40,40,,NA,510k INR,"₹510,000.00",₹1547881,"₹1,547,881.00",17871,17871,18,18,14.05,14.05,,NA,,NA,33,33,0.77,0.77,late,Late,0
1418,Rajouri,,NA,urban,Urban,None,Na,,NA,,NA,JKBK074576,9-26-2024,Sep 2024,1,1,0,0,0,0,0,19,19,21,21,13,13,46,46,20,20,119,119,₹1584288,"₹1,584,288.00",5938k INR,"₹5,938,000.00",91836,91836,,NA,8.41,8.41,,NA,,NA,49,49,0.53,0.53,On-time,NA,0
1419,Bandipora,Other,Other,Rural,Rural,None,Na,nano entrepreneur,Nano Entrepreneur,Retail,Retail,JKBK019457,As on Feb 2026,Feb 2026,1,1,0,1,1,0,0,24,24,69,69,,NA,10,10,33,33,,NA,,₹0.00,"$9,376","₹843,840.00",,NA,24,24,14.33,14.33,,NA,,NA,23,23,0.08,0.08,Default,Default,0
1420,Budgam,,NA,rural,Rural,,Na,Existing enterprise,Existing Enterprise,Services,Services,JKBK090689,,NA,1,1,1,1,1,1,0,37,37,,NA,38,38,22,22,31,31,,NA,"$19,991","₹1,799,190.00",₹5576698,"₹5,576,698.00",104448,104448,48,48,10.9,10.9,43826,43826,0.42,0.42,53,53,0.58,0.58,ONTIME,On-Time,0
1421,Anantnag,Other,Other,rural,Rural,Locomotor,Locomotor,nano entrepreneur,Nano Entrepreneur,Services,Services,JKBK045432,2022-01-07,Jan 2022,1,1,0,1,1,1,1,5,5,60,60,31,31,74,74,17,17,187,187,3025k INR,"₹3,025,000.00",,NA,54311,54311,36,36,10.03,10.03,14382,14382,0.265,0.265,93,93,0.36,0.36,late,Late,0
1422,Ramban,,NA,,NA,Hearing,Hearing,Existing Enterprise,Existing Enterprise,IT,IT,JKBK045432,5-6-2026,May 2026,1,1,0,1,1,1,1,21,21,80,80,49,49,99,99,19,19,268,268,₹4502581,"₹4,502,581.00",2602k INR,"₹2,602,000.00",34514,34514,60,60,12.85,12.85,15486,15486,0.449,0.449,72,72,0.68,0.68,Default,Default,0
1423,Bandipora,Male,Male,,NA,Visual,Visual,MSME Sunrise Sector,Msme Sunrise Sector,Manufacturing,Manufacturing,JKBK025888,As on Feb 2026,Feb 2026,1,1,0,1,1,1,1,9,9,83,83,29,29,,NA,2,2,,NA,"$34,139","₹3,072,510.00",,NA,40966,40966,24,24,8.1,8.1,10355,10355,0.253,0.253,10,10,0.75,0.75,late,Late,0
1424,Doda,FEMALE,Female,Urban,Urban,None,Na,Existing Enterprise,Existing Enterprise,Healthcare,Healthcare,JKBK042887,4-7-2026,Apr 2026,1,1,0,1,1,0,0,40,40,67,67,31,31,99,99,24,24,261,261,3576k INR,"₹3,576,000.00","$8,477","₹762,930.00",39308,39308,48,48,6.73,6.73,,NA,,NA,42,42,0.83,0.83,Delayed,Delayed,0
1425,Kulgam,male,Male,,NA,Hearing,Hearing,Existing enterprise,Existing Enterprise,Retail,Retail,JKBK079910,,NA,1,1,0,0,0,0,0,1,1,58,58,59,59,13,13,23,23,154,154,2247263,"₹2,247,263.00",,NA,48515,48515,60,60,8.54,8.54,,NA,,NA,28,28,0.89,0.89,On-time,NA,27
1426,Ganderbal,Male,Male,Rural,Rural,,Na,MSME Sunrise Sector,Msme Sunrise Sector,Retail,Retail,JKBK087893,As on Feb 2026,Feb 2026,1,1,0,0,0,0,0,22,22,89,89,11,11,12,12,23,23,157,157,2605k INR,"₹2,605,000.00",4920205,"₹4,920,205.00",16669,16669,24,24,8.4,8.4,,NA,,NA,48,48,0.22,0.22,Default,Default,0
1427,Kupwara,Male,Male,urban,Urban,Locomotor,Locomotor,MSME Sunrise Sector,Msme Sunrise Sector,Retail,Retail,JKBK037043,As on Feb 2026,Feb 2026,1,1,1,1,1,1,1,17,17,69,69,59,59,35,35,31,31,211,211,,₹0.00,₹4831923,"₹4,831,923.00",23730,23730,12,12,8.88,8.88,7825,7825,0.33,0.33,35,35,0.95,0.95,ONTIME,On-Time,0
1428,Anantnag,male,Male,,NA,Visual,Visual,Nano Entrepreneur,Nano Entrepreneur,Healthcare,Healthcare,JKBK041666,12-20-2025,Dec 2025,1,1,0,1,1,0,0,11,11,,NA,21,21,68,68,,NA,,NA,,₹0.00,3222472,"₹3,222,472.00",28699,28699,24,24,13.65,13.65,,NA,,NA,,NA,0.39,0.39,Delayed,Delayed,0
1429,Shopian,Other,Other,,NA,,Na,,NA,Agri,Agri,JKBK021016,11/12/2022,Nov 2022,1,1,1,1,0,0,0,30,30,60,60,33,33,28,28,21,21,172,172,2483123,"₹2,483,123.00",₹6276889,"₹6,276,889.00",38605,38605,60,60,13.6,13.6,,NA,,NA,83,83,0.15,0.15,On-time,NA,0
1429,Kathua,Female,Female,,NA,,Na,Existing Enterprise,Existing Enterprise,IT,IT,JKBK023085,24/8/2025,Aug 2025,1,1,0,1,0,0,0,16,16,6,6,47,47,70,70,44,44,183,183,3324228,"₹3,324,228.00","$31,154","₹2,803,860.00",102556,102556,36,36,8.28,8.28,,NA,,NA,9,9,0.39,0.39,On-time,NA,0
1431,Baramulla,Other,Other,rural,Rural,Hearing,Hearing,,NA,IT,IT,JKBK047358,2025-10-05,Oct 2025,1,1,0,1,1,1,1,12,12,58,58,55,55,114,114,36,36,275,275,3110k INR,"₹3,110,000.00","$2,495","₹224,550.00",99612,99612,24,24,7.35,7.35,31617,31617,0.317,0.317,82,82,0.15,0.15,Delayed,Delayed,0
1432,Anantnag,Female,Female,Rural,Rural,NA,Na,MSME Sunrise Sector,Msme Sunrise Sector,Tourism,Tourism,JKBK074773,20/12/2023,Dec 2023,1,1,0,1,1,1,0,25,25,8,8,34,34,113,113,29,29,209,209,856210,"₹856,210.00",2375k INR,"₹2,375,000.00",30419,30419,60,60,10.42,10.42,10164,10164,0.334,0.334,,NA,0.74,0.74,late,Late,54
1433,Udhampur,male,Male,Urban,Urban,,Na,Existing enterprise,Existing Enterprise,IT,IT,JKBK023222,,NA,1,0,0,1,1,1,1,15,15,11,11,30,30,12,12,32,32,100,100,2813k INR,"₹2,813,000.00",6799346,"₹6,799,346.00",57385,57385,18,18,12.22,12.22,23887,23887,0.416,0.416,36,36,0.83,0.83,On-time,NA,0
1434,Baramulla,Male,Male,,NA,Locomotor,Locomotor,Nano Entrepreneur,Nano Entrepreneur,Retail,Retail,JKBK074756,As on Feb 2026,Feb 2026,1,1,0,1,1,1,1,8,8,58,58,7,7,,NA,12,12,,NA,₹3974813,"₹3,974,813.00",,NA,97405,97405,60,60,7.41,7.41,17390,17390,0.179,0.179,14,14,0.48,0.48,Delayed,Delayed,0
1435,Udhampur,Female,Female,,NA,Hearing,Hearing,Existing Enterprise,Existing Enterprise,Retail,Retail,JKBK040914,8-7-2023,Aug 2023,1,1,0,1,1,0,0,9,9,11,11,57,57,,NA,36,36,,NA,2440417,"₹2,440,417.00",4757472,"₹4,757,472.00",99842,99842,48,48,13.34,13.34,,NA,,NA,47,47,0.69,0.69,ONTIME,On-Time,79
1436,Ganderbal,Male,Male,urban,Urban,,Na,Nano Entrepreneur,Nano Entrepreneur,Retail,Retail,JKBK033628,8-15-2024,Aug 2024,1,1,0,0,0,0,0,22,22,36,36,52,52,90,90,8,8,208,208,"$10,653","₹958,770.00",6604727,"₹6,604,727.00",43042,43042,36,36,10.07,10.07,,NA,,NA,43,43,0.71,0.71,Default,Default,168
1437,Udhampur,Female,Female,rural,Rural,,Na,,NA,IT,IT,JKBK028987,,NA,1,1,1,1,1,1,1,20,20,43,43,52,52,47,47,4,4,166,166,3979k INR,"₹3,979,000.00",₹154034,"₹154,034.00",17870,17870,36,36,10.04,10.04,5821,5821,0.326,0.326,70,70,0.71,0.71,Default,Default,0
1438,Poonch,Female,Female,rural,Rural,Multiple,Multiple,MSME Sunrise Sector,Msme Sunrise Sector,Healthcare,Healthcare,JKBK088041,2023-03-21,Mar 2023,1,1,1,1,1,0,0,39,39,32,32,48,48,13,13,37,37,169,169,3749k INR,"₹3,749,000.00",1318k INR,"₹1,318,000.00",104996,104996,,NA,9.01,9.01,,NA,,NA,19,19,0.98,0.98,Default,Default,0
1439,Poonch,Female,Female,rural,Rural,NA,Na,Existing Enterprise,Existing Enterprise,Healthcare,Healthcare,JKBK011500,2-4-2024,Feb 2024,1,1,1,1,1,0,0,39,39,71,71,48,48,89,89,28,28,275,275,₹717390,"₹717,390.00",3317k INR,"₹3,317,000.00",105265,105265,36,36,14,14,,NA,,NA,5,5,0.83,0.83,,NA,174
1440,Bandipora,,NA,Urban,Urban,None,Na,Existing Enterprise,Existing Enterprise,IT,IT,JKBK014688,28/3/2021,Mar 2021,1,1,0,0,0,0,0,38,38,39,39,54,54,50,50,12,12,193,193,5344362,"₹5,344,362.00",4079591,"₹4,079,591.00",117907,117907,18,18,7.9,7.9,,NA,,NA,93,93,0.86,0.86,On-time,NA,0
